Name,Light Years from Earth,Planet Mass,Stellar Magnitude,Discovery Date 
HD 180314 b,401,20.13 Jupiters,6.608,2010
HD 180617 b,19,12.214 Earths,9.12,2018
HD 180902 b,342,1.685 Jupiters,7.78,2009
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,394,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 181433 c,88,0.64 Jupiters,8.4,2008
HD 181433 d,88,0.54 Jupiters,8.4,2008
HD 181720 b,197,0.4 Jupiters,7.849,2009
HD 183263 b,177,3.95 Jupiters,7.861,2004
HD 183263 c,177,3.57 Jupiters,7.861,2008
HD 180617 b,19,12.214 Earths,9.12,2018
HD 180902 b,342,1.685 Jupiters,7.78,2009
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,394,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 181433 c,88,0.64 Jupiters,8.4,2008
HD 181433 d,88,0.54 Jupiters,8.4,2008
HD 181720 b,197,0.4 Jupiters,7.849,2009
HD 183263 b,177,3.95 Jupiters,7.861,2004
HD 183263 c,177,3.57 Jupiters,7.861,2008
HD 183579 b,186,19.7 Earths,8.675,2021
HD 185269 b,170,1.01 Jupiters,6.67,2006
HD 187085 b,150,0.836 Jupiters,7.225,2006
HD 187123 b,150,0.523 Jupiters,7.832,1998
HD 187123 c,150,1.99 Jupiters,7.832,2008
HD 18742 b,533,3.4 Jupiters,7.81,2011
HD 188015 b,166,1.5 Jupiters,8.234,2004
HD 189733 b,65,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.458,2020
HD 190360 b,52,1.54 Jupiters,5.73,2003
HD 183579 b,186,19.7 Earths,8.675,2021
HD 185269 b,170,1.01 Jupiters,6.67,2006
HD 187085 b,150,0.836 Jupiters,7.225,2006
HD 187123 b,150,0.523 Jupiters,7.832,1998
HD 187123 c,150,1.99 Jupiters,7.832,2008
HD 18742 b,533,3.4 Jupiters,7.81,2011
HD 188015 b,166,1.5 Jupiters,8.234,2004
HD 189733 b,65,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.458,2020
HD 190360 b,52,1.54 Jupiters,5.73,2003
HD 183579 b,186,19.7 Earths,8.675,2021
HD 185269 b,170,1.01 Jupiters,6.67,2006
HD 187085 b,150,0.836 Jupiters,7.225,2006
HD 187123 b,150,0.523 Jupiters,7.832,1998
HD 187123 c,150,1.99 Jupiters,7.832,2008
HD 18742 b,533,3.4 Jupiters,7.81,2011
HD 188015 b,166,1.5 Jupiters,8.234,2004
HD 189733 b,65,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.458,2020
HD 190360 b,52,1.54 Jupiters,5.73,2003
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 213885 c,156,19.95 Earths,7.996,2019
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 213885 c,156,19.95 Earths,7.996,2019
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 213885 c,156,19.95 Earths,7.996,2019
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 213885 c,156,19.95 Earths,7.996,2019
HD 216520 b,64,10.26 Earths,7.52,2020
HD 216520 c,64,9.44 Earths,7.52,2020
HD 216536 b,1241,1.05 Jupiters,9.23,2015
HD 216770 b,120,0.57 Jupiters,8.094,2003
HD 21693 b,106,8.23 Earths,7.95,2019
HD 21693 c,106,17.37 Earths,7.95,2019
HD 217107 b,65,1.3 Jupiters,6.16,1998
HD 217107 c,65,2.6 Jupiters,6.16,2005
HD 21749 c,53,3.7 Earths,7.87,2019
HD 217786 b,179,13 Jupiters,7.8,2011
HD 217850 b,215,21.6 Jupiters,8.52,2018
HD 218566 b,94,0.2 Jupiters,8.628,2010
HD 219077 b,95,10.39 Jupiters,6.12,2012
HD 219134 b,21,4.74 Earths,5.57,2015
HD 219134 c,21,4.36 Earths,5.57,2015
HD 219134 d,21,16.17 Earths,5.57,2015
HD 219134 f,21,7.3 Earths,5.57,2015
HD 219134 g,21,10.80622 Earths,5.57,2015
HD 219134 h,21,0.34 Jupiters,5.57,2015
HD 219415 b,541,1 Jupiter,8.94,2012
HD 217850 b,215,21.6 Jupiters,8.52,2018
HD 218566 b,94,0.2 Jupiters,8.628,2010
HD 219077 b,95,10.39 Jupiters,6.12,2012
HD 219134 b,21,4.74 Earths,5.57,2015
HD 219134 c,21,4.36 Earths,5.57,2015
HD 219134 d,21,16.17 Earths,5.57,2015
HD 219134 f,21,7.3 Earths,5.57,2015
HD 219134 g,21,10.80622 Earths,5.57,2015
HD 219134 h,21,0.34 Jupiters,5.57,2015
HD 219415 b,541,1 Jupiter,8.94,2012
HD 221420 b,102,9.7 Jupiters,5.81,2019
HD 221585 b,182,1.61 Jupiters,7.465,2016
HD 222076 b,298,1.56 Jupiters,7.459,2016
HD 222155 b,165,2.12 Jupiters,7.114,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,306,0.7 Jupiters,8.23,2006
HD 22781 b,106,13.65 Jupiters,8.766,2011
HD 23079 b,109,2.61 Jupiters,7.12,2001
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 221420 b,102,9.7 Jupiters,5.81,2019
HD 221585 b,182,1.61 Jupiters,7.465,2016
HD 222076 b,298,1.56 Jupiters,7.459,2016
HD 222155 b,165,2.12 Jupiters,7.114,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,306,0.7 Jupiters,8.23,2006
HD 22781 b,106,13.65 Jupiters,8.766,2011
HD 23079 b,109,2.61 Jupiters,7.12,2001
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 221420 b,102,9.7 Jupiters,5.81,2019
HD 221585 b,182,1.61 Jupiters,7.465,2016
HD 222076 b,298,1.56 Jupiters,7.459,2016
HD 222155 b,165,2.12 Jupiters,7.114,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,306,0.7 Jupiters,8.23,2006
HD 22781 b,106,13.65 Jupiters,8.766,2011
HD 23079 b,109,2.61 Jupiters,7.12,2001
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 221420 b,102,9.7 Jupiters,5.81,2019
HD 221585 b,182,1.61 Jupiters,7.465,2016
HD 222076 b,298,1.56 Jupiters,7.459,2016
HD 222155 b,165,2.12 Jupiters,7.114,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,306,0.7 Jupiters,8.23,2006
HD 22781 b,106,13.65 Jupiters,8.766,2011
HD 23079 b,109,2.61 Jupiters,7.12,2001
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 221420 b,102,9.7 Jupiters,5.81,2019
HD 221585 b,182,1.61 Jupiters,7.465,2016
HD 222076 b,298,1.56 Jupiters,7.459,2016
HD 222155 b,165,2.12 Jupiters,7.114,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,306,0.7 Jupiters,8.23,2006
HD 22781 b,106,13.65 Jupiters,8.766,2011
HD 23079 b,109,2.61 Jupiters,7.12,2001
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 27894 b,143,0.665 Jupiters,9.349,2005
HD 27894 c,143,0.162 Jupiters,9.349,2017
HD 27894 d,143,5.415 Jupiters,9.349,2017
HD 28185 b,129,5.9 Jupiters,7.81,2001
HD 28254 b,178,1.16 Jupiters,7.684,2010
HD 285507 b,147,0.98 Jupiters,10.267,2013
HD 285968 b,31,8.4 Earths,10.038,2008
HD 28678 b,623,1.542 Jupiters,8.38,2011
HD 29021 b,101,2.4 Jupiters,7.76,2017
HD 290327 b,184,2.43 Jupiters,8.99,2009
HD 3167 b,154,5.02 Earths,8.94,2016
HD 3167 c,154,9.8 Earths,8.94,2016
HD 3167 d,154,6.9 Earths,8.94,2017
HD 32518 b,400,3.04 Jupiters,6.421,2009
HD 32963 b,124,0.7 Jupiters,7.6,2015
HD 330075 b,148,0.48 Jupiters,9.334,2004
HD 33142 b,397,1.385 Jupiters,7.96,2011
HD 33142 c,397,5.97 Jupiters,7.96,2018
HD 332231 b,264,0.244 Jupiters,8.56,2020
HD 33283 b,294,0.329 Jupiters,8.05,2006
HD 3167 b,154,5.02 Earths,8.94,2016
HD 3167 c,154,9.8 Earths,8.94,2016
HD 3167 d,154,6.9 Earths,8.94,2017
HD 32518 b,400,3.04 Jupiters,6.421,2009
HD 32963 b,124,0.7 Jupiters,7.6,2015
HD 330075 b,148,0.48 Jupiters,9.334,2004
HD 33142 b,397,1.385 Jupiters,7.96,2011
HD 33142 c,397,5.97 Jupiters,7.96,2018
HD 332231 b,264,0.244 Jupiters,8.56,2020
HD 33283 b,294,0.329 Jupiters,8.05,2006
HD 33564 b,68,9.1 Jupiters,5.08,2005
HD 33844 b,346,2.01 Jupiters,7.286,2015
HD 33844 c,346,1.75 Jupiters,7.286,2015
HD 34445 b,151,0.82 Jupiters,7.328,2009
HD 34445 c,151,0.168 Jupiters,7.328,2017
HD 34445 d,151,30.7 Earths,7.328,2017
HD 34445 e,151,16.8 Earths,7.328,2017
HD 34445 f,151,37.9 Earths,7.328,2017
HD 34445 g,151,0.38 Jupiters,7.328,2017
HD 35759 b,236,3.76 Jupiters,7.74,2016
HD 33564 b,68,9.1 Jupiters,5.08,2005
HD 33844 b,346,2.01 Jupiters,7.286,2015
HD 33844 c,346,1.75 Jupiters,7.286,2015
HD 34445 b,151,0.82 Jupiters,7.328,2009
HD 34445 c,151,0.168 Jupiters,7.328,2017
HD 34445 d,151,30.7 Earths,7.328,2017
HD 34445 e,151,16.8 Earths,7.328,2017
HD 34445 f,151,37.9 Earths,7.328,2017
HD 34445 g,151,0.38 Jupiters,7.328,2017
HD 35759 b,236,3.76 Jupiters,7.74,2016
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 43691 b,280,2.55 Jupiters,8.03,2007
HD 44219 b,164,0.58 Jupiters,7.69,2010
HD 45184 b,71,12.19 Earths,6.37,2019
HD 45184 c,71,8.81 Earths,6.37,2019
HD 45350 b,153,1.79 Jupiters,7.885,2004
HD 45364 b,112,0.1872 Jupiters,8.062,2008
HD 45364 c,112,0.6579 Jupiters,8.062,2008
HD 45652 b,114,0.433 Jupiters,8.1,2008
HD 46375 b,96,0.226 Jupiters,7.912,2000
HD 47186 b,122,22.2481 Earths,7.626,2008
HD 43691 b,280,2.55 Jupiters,8.03,2007
HD 44219 b,164,0.58 Jupiters,7.69,2010
HD 45184 b,71,12.19 Earths,6.37,2019
HD 45184 c,71,8.81 Earths,6.37,2019
HD 45350 b,153,1.79 Jupiters,7.885,2004
HD 45364 b,112,0.1872 Jupiters,8.062,2008
HD 45364 c,112,0.6579 Jupiters,8.062,2008
HD 45652 b,114,0.433 Jupiters,8.1,2008
HD 46375 b,96,0.226 Jupiters,7.912,2000
HD 47186 b,122,22.2481 Earths,7.626,2008
HD 43691 b,280,2.55 Jupiters,8.03,2007
HD 44219 b,164,0.58 Jupiters,7.69,2010
HD 45184 b,71,12.19 Earths,6.37,2019
HD 45184 c,71,8.81 Earths,6.37,2019
HD 45350 b,153,1.79 Jupiters,7.885,2004
HD 45364 b,112,0.1872 Jupiters,8.062,2008
HD 45364 c,112,0.6579 Jupiters,8.062,2008
HD 45652 b,114,0.433 Jupiters,8.1,2008
HD 46375 b,96,0.226 Jupiters,7.912,2000
HD 47186 b,122,22.2481 Earths,7.626,2008
HD 43691 b,280,2.55 Jupiters,8.03,2007
HD 44219 b,164,0.58 Jupiters,7.69,2010
HD 45184 b,71,12.19 Earths,6.37,2019
HD 45184 c,71,8.81 Earths,6.37,2019
HD 45350 b,153,1.79 Jupiters,7.885,2004
HD 45364 b,112,0.1872 Jupiters,8.062,2008
HD 45364 c,112,0.6579 Jupiters,8.062,2008
HD 45652 b,114,0.433 Jupiters,8.1,2008
HD 46375 b,96,0.226 Jupiters,7.912,2000
HD 47186 b,122,22.2481 Earths,7.626,2008
HD 47186 c,122,0.35061 Jupiters,7.626,2008
HD 4732 b,179,2.37 Jupiters,5.89,2012
HD 4732 c,179,2.37 Jupiters,5.89,2012
HD 47366 b,276,2.3 Jupiters,6.11,2016
HD 47366 c,276,1.88 Jupiters,6.11,2016
HD 47536 b,401,7.32 Jupiters,5.25,2002
HD 4760 b,1781,13.9 Jupiters,7.491,2021
HD 48265 b,296,1.525 Jupiters,8.051,2008
HD 4917 b,670,1.615 Jupiters,8.03,2018
HD 49674 b,141,31.783 Earths,8.1,2002
HD 47186 c,122,0.35061 Jupiters,7.626,2008
HD 4732 b,179,2.37 Jupiters,5.89,2012
HD 4732 c,179,2.37 Jupiters,5.89,2012
HD 47366 b,276,2.3 Jupiters,6.11,2016
HD 47366 c,276,1.88 Jupiters,6.11,2016
HD 47536 b,401,7.32 Jupiters,5.25,2002
HD 4760 b,1781,13.9 Jupiters,7.491,2021
HD 48265 b,296,1.525 Jupiters,8.051,2008
HD 4917 b,670,1.615 Jupiters,8.03,2018
HD 49674 b,141,31.783 Earths,8.1,2002
HD 50499 b,151,1.636 Jupiters,7.207,2005
HD 50499 c,151,2.93 Jupiters,7.207,2019
HD 50554 b,102,4.954 Jupiters,6.84,2002
HD 51608 b,114,12.77 Earths,8.17,2019
HD 51608 c,114,14.31 Earths,8.17,2019
HD 52265 b,98,1.21 Jupiters,6.3,2000
HD 5319 b,397,1.556 Jupiters,8.05,2007
HD 5319 c,397,1.053 Jupiters,8.05,2014
HD 55696 b,255,3.87 Jupiters,7.95,2018
HD 5583 b,721,5.78 Jupiters,7.6,2016
HD 5608 b,190,1.681 Jupiters,5.99,2012
HD 564 b,175,0.33 Jupiters,8.29,2014
HD 5891 b,932,7.63 Jupiters,8.25,2011
HD 59686 A b,316,6.92 Jupiters,5.442,2016
HD 60532 b,85,1.06 Jupiters,4.44,2008
HD 60532 c,85,2.51 Jupiters,4.44,2008
HD 62509 b,34,2.3 Jupiters,1.14,2006
HD 63433 b,73,5.27 Earths,6.9,2020
HD 63433 c,73,7.61 Earths,6.9,2020
HD 63454 b,123,0.25 Jupiters,9.37,2005
HD 5608 b,190,1.681 Jupiters,5.99,2012
HD 564 b,175,0.33 Jupiters,8.29,2014
HD 5891 b,932,7.63 Jupiters,8.25,2011
HD 59686 A b,316,6.92 Jupiters,5.442,2016
HD 60532 b,85,1.06 Jupiters,4.44,2008
HD 60532 c,85,2.51 Jupiters,4.44,2008
HD 62509 b,34,2.3 Jupiters,1.14,2006
HD 63433 b,73,5.27 Earths,6.9,2020
HD 63433 c,73,7.61 Earths,6.9,2020
HD 63454 b,123,0.25 Jupiters,9.37,2005
HD 5608 b,190,1.681 Jupiters,5.99,2012
HD 564 b,175,0.33 Jupiters,8.29,2014
HD 5891 b,932,7.63 Jupiters,8.25,2011
HD 59686 A b,316,6.92 Jupiters,5.442,2016
HD 60532 b,85,1.06 Jupiters,4.44,2008
HD 60532 c,85,2.51 Jupiters,4.44,2008
HD 62509 b,34,2.3 Jupiters,1.14,2006
HD 63433 b,73,5.27 Earths,6.9,2020
HD 63433 c,73,7.61 Earths,6.9,2020
HD 63454 b,123,0.25 Jupiters,9.37,2005
HD 63765 b,106,0.53 Jupiters,8.1,2009
HD 64114 b,103,17.8 Earths,7.718,2019
HD 6434 b,138,0.49 Jupiters,7.71,2003
HD 65216 b,115,1.295 Jupiters,7.964,2003
HD 65216 c,115,2.03 Jupiters,7.964,2013
HD 66141 b,222,6 Jupiters,4.38,2012
HD 66428 b,174,3.204 Jupiters,8.246,2005
HD 67087 b,250,3.06 Jupiters,8.05,2015
HD 67087 c,250,4.85 Jupiters,8.05,2015
HD 6718 b,168,1.68 Jupiters,8.45,2009
HD 68402 b,256,3.07 Jupiters,9.11,2016
HD 68988 b,199,1.97 Jupiters,8.2,2001
HD 69830 b,41,10.2 Earths,6,2006
HD 69830 c,41,11.8 Earths,6,2006
HD 69830 d,41,18.1 Earths,6,2006
HD 70573 b,149,6.1 Jupiters,11.424,2007
HD 70642 b,96,1.993 Jupiters,7.169,2003
HD 7199 b,118,0.27 Jupiters,8.027,2011
HD 72490 b,414,1.768 Jupiters,7.82,2018
HD 72659 b,170,3.85 Jupiters,7.46,2002
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 75784 c,279,5.64 Jupiters,7.84,2018
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76700 b,199,0.21 Jupiters,8.155,2002
HD 76920 b,603,3.93 Jupiters,7.817,2017
HD 77338 b,150,15.9 Earths,8.591,2012
HD 7924 b,55,6.3566 Earths,7.185,2008
HD 7924 c,55,7.86 Earths,7.185,2015
HD 7924 d,55,6.44 Earths,7.185,2015
HD 79498 b,160,1.34 Jupiters,8.05,2011
HD 80606 b,217,4.38 Jupiters,9.001,2001
HD 85390 b,109,31.46517 Earths,8.526,2009
HD 85512 b,37,3.1783 Earths,7.67,2011
HD 8574 b,146,2.03 Jupiters,7.112,2002
HD 86081 b,340,1.48 Jupiters,8.73,2006
HD 86226 b,149,0.45 Jupiters,7.932,2009
HD 86226 c,149,7.25 Earths,7.932,2020
HD 86264 b,222,7 Jupiters,7.407,2009
HD 8673 b,124,14.2 Jupiters,6.31,2009
HD 86950 b,689,3.6 Jupiters,7.459,2016
HD 87646 b,441,12.4 Jupiters,8,2016
HD 85390 b,109,31.46517 Earths,8.526,2009
HD 85512 b,37,3.1783 Earths,7.67,2011
HD 8574 b,146,2.03 Jupiters,7.112,2002
HD 86081 b,340,1.48 Jupiters,8.73,2006
HD 86226 b,149,0.45 Jupiters,7.932,2009
